step,method,lr,batch_size,bucket,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance
140,flat_lr=0.05_B=32,0.05,32,flat,8.471568435197696e-06,7.1737877078703605e-06,0.0,0.0,1.0310683556946643e-10
150,flat_lr=0.05_B=32,0.05,32,flat,8.76507237990154e-06,7.481762168026762e-06,0.0,0.0,1.1228618035374893e-10
160,flat_lr=0.05_B=32,0.05,32,flat,9.802915883483365e-06,7.634484973095823e-06,0.0,0.0,1.1569311481052225e-10
170,flat_lr=0.05_B=32,0.05,32,flat,1.0170745554205496e-05,8.694832104083616e-06,0.0,0.0,1.5334843117553731e-10
180,flat_lr=0.05_B=32,0.05,32,flat,9.517214493826032e-06,8.632838216726668e-06,0.0,0.0,1.5401677155857385e-10
190,flat_lr=0.05_B=32,0.05,32,flat,9.198625775752589e-06,7.604162419738714e-06,0.0,0.0,1.2537733351525304e-10
200,flat_lr=0.05_B=32,0.05,32,flat,1.0424624633742496e-05,8.54182417242555e-06,0.0,0.0,1.5934327468603016e-10
0,sharp_lr=0.05_B=32,0.05,32,sharp,0.0,0.0,0.0,0.0,0.0
10,sharp_lr=0.05_B=32,0.05,32,sharp,0.0009570264373905957,0.0036290790885686874,0.0,0.0,8.019671804504469e-05
20,sharp_lr=0.05_B=32,0.05,32,sharp,-6.044614565325901e-05,0.003998687490820885,0.0,0.0,0.00016609689919278026
30,sharp_lr=0.05_B=32,0.05,32,sharp,-0.0014700605534017086,0.005558221600949764,0.0,0.0,0.00024173555721063167
40,sharp_lr=0.05_B=32,0.05,32,sharp,-0.0002887419250328094,0.006892378441989422,0.0,0.0,0.00027264811797067523
50,sharp_lr=0.05_B=32,0.05,32,sharp,-0.0013826648937538266,0.0069232541136443615,0.0,0.0,0.0002874707861337811
60,sharp_lr=0.05_B=32,0.05,32,sharp,9.069519001059234e-05,0.008793466724455357,0.0,0.0,0.0003948594385292381
70,sharp_lr=0.05_B=32,0.05,32,sharp,-0.0003420282155275345,0.006505961529910564,0.0,0.0,0.0004073717864230275
80,sharp_lr=0.05_B=32,0.05,32,sharp,-0.00010157138603972271,0.005762060172855854,0.0,0.0,0.0004606510337907821
90,sharp_lr=0.05_B=32,0.05,32,sharp,0.0013801654567942023,0.006718497257679701,0.0,0.0,0.000516213069204241
100,sharp_lr=0.05_B=32,0.05,32,sharp,0.0023183946032077074,0.006861598696559668,0.0,0.0,0.000531510217115283
110,sharp_lr=0.05_B=32,0.05,32,sharp,0.0035044613759964705,0.007833585143089294,0.0,0.0,0.000531641417182982
120,sharp_lr=0.05_B=32,0.05,32,sharp,0.0036341340746730566,0.0065886531956493855,0.0,0.0,0.0005856322241015732
130,sharp_lr=0.05_B=32,0.05,32,sharp,0.003362793941050768,0.007704304531216621,0.0,0.0,0.0006535083521157503
140,sharp_lr=0.05_B=32,0.05,32,sharp,0.004702921956777573,0.008476422168314457,0.0,0.0,0.0006038015126250684
150,sharp_lr=0.05_B=32,0.05,32,sharp,0.005461669526994228,0.007335079368203878,0.0,0.0,0.0006389699410647154
160,sharp_lr=0.05_B=32,0.05,32,sharp,0.005822635255753994,0.010457152500748634,0.0,0.0,0.0006223173695616424
170,sharp_lr=0.05_B=32,0.05,32,sharp,0.00653446139767766,0.012499101459980011,0.0,0.0,0.0006747941370122135
180,sharp_lr=0.05_B=32,0.05,32,sharp,0.0072589474730193615,0.011857753619551659,0.0,0.0,0.000624246837105602
190,sharp_lr=0.05_B=32,0.05,32,sharp,0.007285627070814371,0.011087409220635891,0.0,0.0,0.0006954448763281107
200,sharp_lr=0.05_B=32,0.05,32,sharp,0.008465048857033253,0.011096619069576263,0.0,0.0,0.0006195728783495724
0,flat_lr=0.1_B=32,0.1,32,flat,0.0,0.0,0.0,0.0,0.0
10,flat_lr=0.1_B=32,0.1,32,flat,2.0672657683462603e-06,3.781269697356038e-06,0.0,0.0,2.7072894273616477e-11
20,flat_lr=0.1_B=32,0.1,32,flat,1.700826032902114e-06,5.67730785405729e-06,0.0,0.0,6.416291803423846e-11
30,flat_lr=0.1_B=32,0.1,32,flat,1.949884790519718e-06,7.274413746927166e-06,0.0,0.0,9.911813730889563e-11
40,flat_lr=0.1_B=32,0.1,32,flat,3.6501176055026008e-06,6.640804258495336e-06,0.0,0.0,8.440179805058179e-11
50,flat_lr=0.1_B=32,0.1,32,flat,4.828149940294679e-06,6.5106992224173155e-06,0.0,0.0,8.71299768445688e-11
60,flat_lr=0.1_B=32,0.1,32,flat,5.765426067227963e-06,7.73518331698142e-06,0.0,0.0,1.3308611157558659e-10
70,flat_lr=0.1_B=32,0.1,32,flat,9.992851119022816e-06,1.0196835319220554e-05,0.0,0.0,2.2873412885981992e-10
80,flat_lr=0.1_B=32,0.1,32,flat,1.3487380783772096e-05,1.1032409929612186e-05,0.0,0.0,2.599801762759313e-10
90,flat_lr=0.1_B=32,0.1,32,flat,1.3248567483969964e-05,1.3885734006180428e-05,0.0,0.0,4.001025066813213e-10
100,flat_lr=0.1_B=32,0.1,32,flat,1.231995065609226e-05,1.7170033970614895e-05,0.0,0.0,6.149336040373043e-10
110,flat_lr=0.1_B=32,0.1,32,flat,1.2364875146886334e-05,1.6896960005396977e-05,0.0,0.0,5.698321259295369e-10
120,flat_lr=0.1_B=32,0.1,32,flat,1.4644978364231065e-05,1.7659353034105152e-05,0.0,0.0,5.980413386730277e-10
130,flat_lr=0.1_B=32,0.1,32,flat,1.5225132301566191e-05,1.7539103282615542e-05,0.0,0.0,5.878252884450319e-10
140,flat_lr=0.1_B=32,0.1,32,flat,1.979589978873264e-05,1.6403169865952805e-05,0.0,0.0,5.317199458509947e-10
150,flat_lr=0.1_B=32,0.1,32,flat,2.0242405298631638e-05,1.682550646364689e-05,0.0,0.0,5.634896438344583e-10
160,flat_lr=0.1_B=32,0.1,32,flat,2.2113828890724108e-05,1.817485099309124e-05,0.0,0.0,6.459679458004075e-10
170,flat_lr=0.1_B=32,0.1,32,flat,2.429490086797159e-05,2.055667937383987e-05,0.0,0.0,8.589051136986825e-10
180,flat_lr=0.1_B=32,0.1,32,flat,2.1726780687458813e-05,1.995417187572457e-05,0.0,0.0,8.306842436134332e-10
190,flat_lr=0.1_B=32,0.1,32,flat,2.1332172764232382e-05,1.794844320102129e-05,0.0,0.0,7.045422023566061e-10
200,flat_lr=0.1_B=32,0.1,32,flat,2.4669114282005467e-05,1.979933222173713e-05,0.0,0.0,8.580385291168113e-10
0,sharp_lr=0.1_B=32,0.1,32,sharp,0.0,0.0,0.0,0.0,0.0
10,sharp_lr=0.1_B=32,0.1,32,sharp,0.0018803580896928906,0.007057277951389551,0.0,0.0,0.00030059900018386543
20,sharp_lr=0.1_B=32,0.1,32,sharp,-0.00020361841598059982,0.007373002357780933,0.0,0.0,0.000601035775616765
30,sharp_lr=0.1_B=32,0.1,32,sharp,-0.0030255550518631935,0.010515259578824043,0.0,0.0,0.0008225298370234668
40,sharp_lr=0.1_B=32,0.1,32,sharp,-0.0006751701585017145,0.012421476654708385,0.0,0.0,0.0008488872554153204
50,sharp_lr=0.1_B=32,0.1,32,sharp,-0.002758204936981201,0.011748439632356167,0.0,0.0,0.0008284926298074424
60,sharp_lr=0.1_B=32,0.1,32,sharp,0.00017052066687028855,0.015125920996069908,0.0,0.0,0.0011423231335356832
70,sharp_lr=0.1_B=32,0.1,32,sharp,-0.0008508866303600371,0.010976068675518036,0.0,0.0,0.001108303782530129
80,sharp_lr=0.1_B=32,0.1,32,sharp,-0.00043509661918506026,0.01081106998026371,0.0,0.0,0.0012369888136163354
90,sharp_lr=0.1_B=32,0.1,32,sharp,0.002364236395806074,0.01220775581896305,0.0,0.0,0.0013072704896330833
100,sharp_lr=0.1_B=32,0.1,32,sharp,0.003796484787017107,0.012031354010105133,0.0,0.0,0.0012658402556553483
110,sharp_lr=0.1_B=32,0.1,32,sharp,0.005531419068574905,0.012922641821205616,0.0,0.0,0.001247935346327722
120,sharp_lr=0.1_B=32,0.1,32,sharp,0.005131866317242384,0.010468658991158009,0.0,0.0,0.001362921204417944
130,sharp_lr=0.1_B=32,0.1,32,sharp,0.003711883444339037,0.01155010610818863,0.0,0.0,0.0014838144415989518
140,sharp_lr=0.1_B=32,0.1,32,sharp,0.005858114454895258,0.013112369924783707,0.0,0.0,0.0012680301442742348
150,sharp_lr=0.1_B=32,0.1,32,sharp,0.006463260389864445,0.011312673799693584,0.0,0.0,0.0013949427520856261
160,sharp_lr=0.1_B=32,0.1,32,sharp,0.006385954096913338,0.017913818359375,0.0,0.0,0.0013013997813686728
170,sharp_lr=0.1_B=32,0.1,32,sharp,0.007088916376233101,0.019770484417676926,0.0,0.0,0.0012870683567598462
180,sharp_lr=0.1_B=32,0.1,32,sharp,0.007805822417140007,0.017603056505322456,0.0,0.0,0.0011497612576931715
190,sharp_lr=0.1_B=32,0.1,32,sharp,0.006491206120699644,0.014939986169338226,0.0,0.0,0.0012790084583684802
200,sharp_lr=0.1_B=32,0.1,32,sharp,0.006935477256774902,0.015202470123767853,0.0,0.0,0.0009886048501357436
0,flat_lr=0.0125_B=64,0.0125,64,flat,0.0,0.0,0.0,0.0,0.0
10,flat_lr=0.0125_B=64,0.0125,64,flat,1.0531744720765346e-07,3.5298069178679725e-07,0.0,0.0,2.4240031097806647e-13
20,flat_lr=0.0125_B=64,0.0125,64,flat,2.2095645135777886e-07,4.082033910890459e-07,0.0,0.0,3.1885982027489435e-13
30,flat_lr=0.0125_B=64,0.0125,64,flat,3.26768827108026e-07,4.669497570830572e-07,0.0,0.0,4.806491034174687e-13
40,flat_lr=0.0125_B=64,0.0125,64,flat,7.360087579399988e-07,5.8836695870923e-07,0.0,0.0,7.462862793017333e-13
50,flat_lr=0.0125_B=64,0.0125,64,flat,6.830463803453313e-07,8.554174542041437e-07,0.0,0.0,1.5615335630450589e-12
60,flat_lr=0.0125_B=64,0.0125,64,flat,7.470564469258534e-07,8.545804917048372e-07,0.0,0.0,1.412494578766077e-12
70,flat_lr=0.0125_B=64,0.0125,64,flat,9.469258657190949e-07,8.25982453989127e-07,0.0,0.0,1.3831375281214697e-12
80,flat_lr=0.0125_B=64,0.0125,64,flat,1.1214178812224418e-06,8.643983733236382e-07,0.0,0.0,1.5076411256573219e-12
90,flat_lr=0.0125_B=64,0.0125,64,flat,1.0697654033720028e-06,9.902270221573417e-07,0.0,0.0,2.0323976876457372e-12
100,flat_lr=0.0125_B=64,0.0125,64,flat,1.1427232493588235e-06,9.775718581295223e-07,0.0,0.0,2.094306715896832e-12
110,flat_lr=0.0125_B=64,0.0125,64,flat,1.376785235152056e-06,9.94592937786365e-07,0.0,0.0,2.1054926465507995e-12
120,flat_lr=0.0125_B=64,0.0125,64,flat,1.4244255908124615e-06,9.998072982853046e-07,0.0,0.0,2.0931570279131284e-12
130,flat_lr=0.0125_B=64,0.0125,64,flat,1.3469434634316713e-06,1.0964519105982617e-06,0.0,0.0,2.570385961367383e-12
140,flat_lr=0.0125_B=64,0.0125,64,flat,1.3287614137880155e-06,1.1313431969028898e-06,0.0,0.0,2.7402583240715428e-12
150,flat_lr=0.0125_B=64,0.0125,64,flat,1.481527306168573e-06,9.638843039283529e-07,0.0,0.0,2.0945155332352527e-12
160,flat_lr=0.0125_B=64,0.0125,64,flat,1.5936537920424598e-06,1.0483424830454169e-06,0.0,0.0,2.6173878602681055e-12
170,flat_lr=0.0125_B=64,0.0125,64,flat,1.7097162299251067e-06,1.1007274451912963e-06,0.0,0.0,2.7849771100374454e-12
180,flat_lr=0.0125_B=64,0.0125,64,flat,1.8340696215091157e-06,1.0555726248639985e-06,0.0,0.0,2.651884788151815e-12
190,flat_lr=0.0125_B=64,0.0125,64,flat,1.738698983899667e-06,1.2016338359899237e-06,0.0,0.0,3.266943356464158e-12
200,flat_lr=0.0125_B=64,0.0125,64,flat,1.7124883697761106e-06,1.362737293675309e-06,0.0,0.0,3.9664387226079345e-12
0,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.0,0.0,0.0,0.0,0.0
10,sharp_lr=0.0125_B=64,0.0125,64,sharp,-2.552215164541849e-06,0.0005375249311327934,0.0,0.0,2.8481615572673036e-06
20,sharp_lr=0.0125_B=64,0.0125,64,sharp,-2.9034355975454673e-05,0.0009517623111605644,0.0,0.0,5.372604846343165e-06
30,sharp_lr=0.0125_B=64,0.0125,64,sharp,1.773888106981758e-05,0.0012732536997646093,0.0,0.0,8.51925778988516e-06
40,sharp_lr=0.0125_B=64,0.0125,64,sharp,9.301590580435004e-06,0.0008470339234918356,0.0,0.0,1.0951043805107474e-05
50,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.00035636479151435196,0.001033961889334023,0.0,0.0,1.434027490176959e-05
60,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.0006075066630728543,0.0010867536766454577,0.0,0.0,1.692061596259009e-05
70,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.0008571659564040601,0.0014033835614100099,0.0,0.0,1.9377846911083907e-05
80,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.0011380146024748683,0.0016283808508887887,0.0,0.0,2.092359500238672e-05
90,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.0014718816382810473,0.002001440152525902,0.0,0.0,2.4158898668247275e-05
100,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.001808288972824812,0.001993508543819189,0.0,0.0,2.5433064365643077e-05
110,sharp_lr=0.0125_B=64,0.0125,64,sharp,0.0019149434519931674,0.0018911445513367653,0.0,0.0,3.1670715543441474e-05
