step,method,mean_x,mean_y,cov_xx,cov_xy,cov_yy,ellipse_width,ellipse_height,ellipse_angle,is_ellipse_step
8,exact_sgd,-0.00123829104361512,-0.013954927147567789,4.20938773179879e-05,-2.4816037879906893e-06,4.8381371988205975e-05,0.014034644188774344,0.012842498188408595,109.1433861422807,0
8,standard_langevin,-0.0028226488228901224,-0.016047765501583478,3.0269224826210754e-05,6.520731226471354e-07,5.982143621122047e-05,0.01547072296763517,0.011000880646948706,88.73658142175604,0
8,drift_corrected_langevin,-0.001144023219671056,-0.013709666458801773,2.610900126930906e-05,1.0262465911774314e-05,6.062448080420187e-05,0.015930509286685886,0.009651569932444072,74.63089838728025,0
9,exact_sgd,-0.0019939087065290423,-0.01590069021956229,4.189643406846495e-05,-3.0733626775885635e-06,5.134420282008753e-05,0.014457659077739961,0.012803852605604816,106.52402885830527,0
9,standard_langevin,-0.0029795857752383343,-0.01774732796283269,3.547070011907582e-05,-1.4089216747055145e-06,6.657518621654086e-05,0.016326527482422665,0.011900758198878094,92.58822818861663,0
9,drift_corrected_langevin,-0.0018217362918884403,-0.015441195255350676,3.252174834104085e-05,1.4294864374698285e-05,6.217610544263072e-05,0.01648572239541021,0.010344678450109336,68.02358894752133,0
10,exact_sgd,-0.0020890687047780184,-0.016988766718621127,4.8361206228480256e-05,-2.04158396951718e-06,5.0427869202715944e-05,0.014378140812707737,0.013726812029554891,121.57705520121576,1
10,standard_langevin,-0.003139607842379963,-0.019729387200531103,3.6374132662605965e-05,-6.298367640175492e-06,7.73652066273567e-05,0.017698715863680943,0.011904319129481504,98.54121039548662,1
10,drift_corrected_langevin,-0.0019002246423845404,-0.017336745430434477,3.047515332008518e-05,8.51915785571521e-06,8.994247580585178e-05,0.019093333186028655,0.010821975067012709,82.0060830495627,1
11,exact_sgd,-0.0012140449154164968,-0.018566346456008256,5.7438846387757516e-05,-1.705407800859976e-06,5.791065799315393e-05,0.015413811842304465,0.014960361693945785,131.06218152938283,0
