step,alpha,seed,method,split,loss,accuracy
768,1.0,153,alpha=1,train,0.3742063641548157,0.8857421875
768,1.0,153,alpha=1,test,0.6543767154216766,0.775
1024,1.0,153,alpha=1,train,0.4397941827774048,0.8916015625
1024,1.0,153,alpha=1,test,0.6913206875324249,0.79
1280,1.0,153,alpha=1,train,0.21719564497470856,0.9267578125
1280,1.0,153,alpha=1,test,0.5443034768104553,0.836
1536,1.0,153,alpha=1,train,0.22701683640480042,0.9326171875
1536,1.0,153,alpha=1,test,0.5320963263511658,0.843
1792,1.0,153,alpha=1,train,0.15097491443157196,0.9501953125
1792,1.0,153,alpha=1,test,0.530762791633606,0.851
2048,1.0,153,alpha=1,train,1.4399195909500122,0.56640625
2048,1.0,153,alpha=1,test,1.536754846572876,0.499
