run,flat_displacement,sharp_displacement,total_displacement,final_train_loss,final_test_loss,generalization_gap
112,0.0014012535102665424,0.26961830258369446,3.755157470703125,1.0004440546035767,1.1434869170188904,0.14304286241531372
113,0.0013682892313227057,0.283358097076416,3.7267911434173584,1.0022237300872803,1.143338918685913,0.1411151885986328
114,0.0011678050504997373,0.26735207438468933,3.724952459335327,1.0052366256713867,1.1416306495666504,0.13639402389526367
115,0.0012271618470549583,0.2801002860069275,3.727620840072632,1.002792477607727,1.1422117948532104,0.1394193172454834
116,0.0010299022542312741,0.25413116812705994,3.7152717113494873,1.0058989524841309,1.146073579788208,0.14017462730407715
117,0.001129486714489758,0.26777809858322144,3.7515223026275635,1.002106785774231,1.1359196305274963,0.13381284475326538
118,0.001407233881764114,0.26858603954315186,3.741992712020874,1.0010031461715698,1.1415021419525146,0.14049899578094482
119,0.0012701631058007479,0.28826573491096497,3.7405292987823486,1.0015766620635986,1.1501380801200867,0.14856141805648804
120,0.001029511564411223,0.2787277102470398,3.7471938133239746,1.0006513595581055,1.137736976146698,0.13708561658859253
121,0.0013028561370447278,0.2744157314300537,3.742375135421753,1.0019967555999756,1.1459556818008423,0.1439589262008667
122,0.001380412606522441,0.27492061257362366,3.7120628356933594,1.0053855180740356,1.1491843461990356,0.143798828125
123,0.0011203804751858115,0.2539602518081665,3.733328342437744,1.003547191619873,1.1387239694595337,0.13517677783966064
124,0.0011549018090590835,0.26200994849205017,3.761063814163208,0.9996144771575928,1.1411321759223938,0.14151769876480103
125,0.0012288024881854653,0.23443575203418732,3.748495578765869,1.0012397766113281,1.140146255493164,0.13890647888183594
126,0.0012309959856793284,0.2599601447582245,3.7176902294158936,1.0054961442947388,1.1497641801834106,0.14426803588867188
127,0.0013155938358977437,0.2612278461456299,3.7474629878997803,1.0000215768814087,1.1405073404312134,0.1404857635498047
128,0.0012334574712440372,0.2713565528392792,3.7389349937438965,1.0004020929336548,1.1392698287963867,0.13886773586273193
129,0.000925088650546968,0.27453476190567017,3.7452123165130615,1.0012125968933105,1.1443604826927185,0.14314788579940796
130,0.0012473310343921185,0.27145642042160034,3.731722116470337,1.003978967666626,1.1457877159118652,0.14180874824523926
131,0.0011315075680613518,0.27677780389785767,3.7587225437164307,0.999003529548645,1.1386837363243103,0.13968020677566528
132,0.0012065032497048378,0.2441486269235611,3.727522611618042,1.0024837255477905,1.1417086124420166,0.13922488689422607
133,0.0012172835413366556,0.2593708336353302,3.7415452003479004,1.0001788139343262,1.1382120251655579,0.1380332112312317
134,0.0011611988302320242,0.2621578574180603,3.7214016914367676,1.0063155889511108,1.1486430764198303,0.14232748746871948
135,0.001349463826045394,0.2717645764350891,3.7391693592071533,0.9998138546943665,1.1388680338859558,0.13905417919158936
136,0.0011910301400348544,0.2765772044658661,3.741780996322632,1.001523733139038,1.146237075328827,0.14471334218978882
137,0.0012742544058710337,0.2654339671134949,3.747580051422119,0.9996961355209351,1.140601634979248,0.140905499458313
138,0.001215255819261074,0.2622707188129425,3.7413387298583984,1.0023449659347534,1.1464110016822815,0.14406603574752808
139,0.0011540711857378483,0.25338974595069885,3.731327533721924,1.0040076971054077,1.1425238847732544,0.13851618766784668
140,0.0012259240029379725,0.29416370391845703,3.7378439903259277,1.0078887939453125,1.1562034487724304,0.14831465482711792
141,0.001158249331638217,0.25012752413749695,3.748605251312256,1.000026822090149,1.1394947171211243,0.13946789503097534
142,0.001014795619994402,0.2832247018814087,3.7387070655822754,1.0018821954727173,1.144691288471222,0.14280909299850464
143,0.0012604426592588425,0.26481130719184875,3.7406399250030518,1.0002210140228271,1.1432043313980103,0.1429833173751831
144,0.0013857226585969329,0.27290084958076477,3.741443634033203,1.0014630556106567,1.1421669721603394,0.14070391654968262
145,0.0011251663090661168,0.2637421488761902,3.735985040664673,1.0012859106063843,1.1404054164886475,0.13911950588226318
146,0.00123339775018394,0.2859611213207245,3.7639172077178955,1.0009666681289673,1.1455591917037964,0.1445925235748291
147,0.0012402927968651056,0.2619827389717102,3.736624240875244,1.00150728225708,1.1407947540283203,0.13928747177124023
148,0.0013809682568535209,0.2706949710845947,3.7576706409454346,0.9992568492889404,1.1435863971710205,0.14432954788208008
149,0.0010847251396626234,0.2716553211212158,3.755247116088867,0.9995812773704529,1.1353501081466675,0.1357688307762146
150,0.001106782234273851,0.2892533838748932,3.7341904640197754,1.0024094581604004,1.1436011791229248,0.14119172096252441
151,0.0011490375036373734,0.2783183753490448,3.767307996749878,0.997741162776947,1.1439353823661804,0.1461942195892334
152,0.0012369416654109955,0.26549991965293884,3.735562801361084,1.0023231506347656,1.1448753476142883,0.1425521969795227
153,0.0012810534099116921,0.2668466866016388,3.7491586208343506,1.004441738128662,1.1485157012939453,0.1440739631652832
154,0.001119118300266564,0.2491963654756546,3.7430925369262695,1.0003255605697632,1.1420511603355408,0.1417255997657776
