step,method,covariance_trace,relative_frobenius_error,mean_direction_variance,mean_projection,std_projection,ci95_low,ci95_high,mean_path_error_to_sgd
20,empirical_sgd,0.28504444094125425,0.0,0.047507406823542375,0.047507406823542375,0.0,0.0,0.0,0.0
20,standard_fp,0.26689196826928374,0.04368010881607805,0.04448199471154729,0.04448199471154729,0.0,0.0,0.0,0.04368010881607805
20,discrete_fp,0.28441043584870423,0.007798328916655398,0.04740173930811737,0.04740173930811737,0.0,0.0,0.0,0.007798328916655398
22,empirical_sgd,0.25893664820869,0.0,0.04315610803478167,0.04315610803478167,0.0,0.0,0.0,0.0
22,standard_fp,0.24118800202163693,0.05017785735346646,0.04019800033693949,0.04019800033693949,0.0,0.0,0.0,0.05017785735346646
22,discrete_fp,0.25757240492607536,0.012119502512629221,0.04292873415434589,0.04292873415434589,0.0,0.0,0.0,0.012119502512629221
24,empirical_sgd,0.23894818078185662,0.0,0.0398246967969761,0.0398246967969761,0.0,0.0,0.0,0.0
24,standard_fp,0.22025950434343927,0.06090700785222983,0.036709917390573214,0.036709917390573214,0.0,0.0,0.0,0.06090700785222983
24,discrete_fp,0.23573837087041397,0.019776365301755312,0.03928972847840233,0.03928972847840233,0.0,0.0,0.0,0.019776365301755312
26,empirical_sgd,0.2205461811310228,0.0,0.03675769685517047,0.03675769685517047,0.0,0.0,0.0,0.0
26,standard_fp,0.2031267667542621,0.06443473951592171,0.033854461125710354,0.033854461125710354,0.0,0.0,0.0,0.06443473951592171
26,discrete_fp,0.21785792311844937,0.023318281133230995,0.03630965385307489,0.03630965385307489,0.0,0.0,0.0,0.023318281133230995
28,empirical_sgd,0.20546131629008735,0.0,0.03424355271501456,0.03424355271501456,0.0,0.0,0.0,0.0
28,standard_fp,0.1890494761574606,0.06336161953797885,0.031508246026243435,0.031508246026243435,0.0,0.0,0.0,0.06336161953797885
28,discrete_fp,0.203147176693915,0.019884647816814597,0.03385786278231916,0.03385786278231916,0.0,0.0,0.0,0.019884647816814597
30,empirical_sgd,0.1924764317949783,0.0,0.032079405299163054,0.032079405299163054,0.0,0.0,0.0,0.0
30,standard_fp,0.17745361734029785,0.05977282148695535,0.02957560289004964,0.02957560289004964,0.0,0.0,0.0,0.05977282148695535
30,discrete_fp,0.191004740502472,0.01789757369440528,0.03183412341707866,0.03183412341707866,0.0,0.0,0.0,0.01789757369440528
32,empirical_sgd,0.18214108631887393,0.0,0.030356847719812324,0.030356847719812324,0.0,0.0,0.0,0.0
32,standard_fp,0.16788545840106683,0.06168775373955977,0.02798090973351114,0.02798090973351114,0.0,0.0,0.0,0.06168775373955977
