step,method,mean,variance,mean_error_to_sgd,variance_error_to_sgd
14,standard_langevin,-0.21773214079177933,0.05237344516129231,0.0017361567738287675,0.0011378338803613094
14,drift_corrected_langevin,-0.21687795440671304,0.052994477786935584,0.0008819703887624764,0.0005168012547180356
15,exact_sgd,-0.22945250916967824,0.05365738821129679,0.0,0.0
15,standard_langevin,-0.2315174911409816,0.052290317876243234,0.0020649819713033646,0.0013670703350535593
15,drift_corrected_langevin,-0.23020934053364375,0.053116743617983374,0.00075683136396551,0.0005406445933134191
16,exact_sgd,-0.2423469787516643,0.053433024308830436,0.0,0.0
16,standard_langevin,-0.24451264727173594,0.05211914094314767,0.002165668520071634,0.0013138833656827636
16,drift_corrected_langevin,-0.24301852732660717,0.05289278233445762,0.0006715485749428651,0.0005402419743728154
17,exact_sgd,-0.2545424536694465,0.05313575486895706,0.0,0.0
17,standard_langevin,-0.25703840514394444,0.05180094647861857,0.002495951474497937,0.0013348083903384905
17,drift_corrected_langevin,-0.25597593264697,0.052527543929672786,0.0014334789775234946,0.0006082109392842733
18,exact_sgd,-0.2660518578222928,0.05262686263578361,0.0,0.0
18,standard_langevin,-0.2689997586816753,0.05140866139723416,0.002947900859382513,0.0012182012385494531
18,drift_corrected_langevin,-0.2676170147800788,0.05202684486617984,0.0015651569577860291,0.0006000177696037709
19,exact_sgd,-0.27757975925325307,0.05187129327253225,0.0,0.0
19,standard_langevin,-0.2804346060225541,0.05051526767656221,0.0028548467693010338,0.001356025595970041
19,drift_corrected_langevin,-0.2789237816686587,0.05135096375430609,0.0013440224154056546,0.0005203295182261633
20,exact_sgd,-0.2883721833598683,0.051080305664141075,0.0,0.0
20,standard_langevin,-0.29098180563100356,0.04954369627122993,0.002609622271135259,0.0015366093929111424
20,drift_corrected_langevin,-0.2895201803220949,0.05050282334312196,0.0011479969622266162,0.0005774823210191182
21,exact_sgd,-0.29884284094652536,0.049973654929739826,0.0,0.0
21,standard_langevin,-0.3011811238930813,0.04843694429539171,0.0023382829465559696,0.0015367106343481193
21,drift_corrected_langevin,-0.2991313128473956,0.04959673460935719,0.0002884719008702241,0.00037692032038263296
22,exact_sgd,-0.3079405642077353,0.04885258518024723,0.0,0.0
22,standard_langevin,-0.3105612167553957,0.04745773220460109,0.002620652547660418,0.0013948529756461422
22,drift_corrected_langevin,-0.308930650383986,0.04848246308538264,0.0009900861762506818,0.0003701220948645889
23,exact_sgd,-0.316662358986397,0.0476450581990726,0.0,0.0
